ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPEMP1,,2007-05-31,,,,100,Index,Online job advertisements index,0
CPEMP1,,2007-06-30,,,,92,Index,Online job advertisements index,0
CPEMP1,,2007-07-31,,,,95.8,Index,Online job advertisements index,0
CPEMP1,,2007-08-31,,,,102.2,Index,Online job advertisements index,0
CPEMP1,,2007-09-30,,,,95.1,Index,Online job advertisements index,0
CPEMP1,,2007-10-31,,,,99.6,Index,Online job advertisements index,0
CPEMP1,,2007-11-30,,,,99.5,Index,Online job advertisements index,0
CPEMP1,,2007-12-31,,,,69.2,Index,Online job advertisements index,0
CPEMP1,,2008-01-31,,,,101.7,Index,Online job advertisements index,0
CPEMP1,,2008-02-29,,,,106.5,Index,Online job advertisements index,0
CPEMP1,,2008-03-31,,,,101.1,Index,Online job advertisements index,0
CPEMP1,,2008-04-30,,,,105.9,Index,Online job advertisements index,0
CPEMP1,,2008-05-31,,,,110.4,Index,Online job advertisements index,0
CPEMP1,,2008-06-30,,,,102,Index,Online job advertisements index,0
CPEMP1,,2008-07-31,,,,107.9,Index,Online job advertisements index,0
CPEMP1,,2008-08-31,,,,97.3,Index,Online job advertisements index,0
CPEMP1,,2008-09-30,,,,99,Index,Online job advertisements index,0
CPEMP1,,2008-10-31,,,,90.4,Index,Online job advertisements index,0
CPEMP1,,2008-11-30,,,,74.8,Index,Online job advertisements index,0
CPEMP1,,2008-12-31,,,,53.4,Index,Online job advertisements index,0
CPEMP1,,2009-01-31,,,,66.1,Index,Online job advertisements index,0
CPEMP1,,2009-02-28,,,,57.9,Index,Online job advertisements index,0
CPEMP1,,2009-03-31,,,,57.8,Index,Online job advertisements index,0
CPEMP1,,2009-04-30,,,,51.2,Index,Online job advertisements index,0
CPEMP1,,2009-05-31,,,,55.3,Index,Online job advertisements index,0
CPEMP1,,2009-06-30,,,,51.9,Index,Online job advertisements index,0
CPEMP1,,2009-07-31,,,,53.8,Index,Online job advertisements index,0
CPEMP1,,2009-08-31,,,,53.4,Index,Online job advertisements index,0
CPEMP1,,2009-09-30,,,,58.9,Index,Online job advertisements index,0
CPEMP1,,2009-10-31,,,,61,Index,Online job advertisements index,0
CPEMP1,,2009-11-30,,,,55.3,Index,Online job advertisements index,0
CPEMP1,,2009-12-31,,,,40.9,Index,Online job advertisements index,0
CPEMP1,,2010-01-31,,,,59.6,Index,Online job advertisements index,0
CPEMP1,,2010-02-28,,,,61.1,Index,Online job advertisements index,0
CPEMP1,,2010-03-31,,,,71.9,Index,Online job advertisements index,0
CPEMP1,,2010-04-30,,,,63.9,Index,Online job advertisements index,0
CPEMP1,,2010-05-31,,,,69,Index,Online job advertisements index,0
CPEMP1,,2010-06-30,,,,68.1,Index,Online job advertisements index,0
CPEMP1,,2010-07-31,,,,72.3,Index,Online job advertisements index,0
CPEMP1,,2010-08-31,,,,73.2,Index,Online job advertisements index,0
CPEMP1,,2010-09-30,,,,72.4,Index,Online job advertisements index,0
CPEMP1,,2010-10-31,,,,73.5,Index,Online job advertisements index,0
CPEMP1,,2010-11-30,,,,71.9,Index,Online job advertisements index,0
CPEMP1,,2010-12-31,,,,52.9,Index,Online job advertisements index,0
CPEMP1,,2011-01-31,,,,72.8,Index,Online job advertisements index,0
CPEMP1,,2011-02-28,,,,74.9,Index,Online job advertisements index,0
CPEMP1,,2011-03-31,,,,85.8,Index,Online job advertisements index,0
CPEMP1,,2011-04-30,,,,77.1,Index,Online job advertisements index,0
CPEMP1,,2011-05-31,,,,86.5,Index,Online job advertisements index,0
CPEMP1,,2011-06-30,,,,82.3,Index,Online job advertisements index,0
CPEMP1,,2011-07-31,,,,84.7,Index,Online job advertisements index,0
CPEMP1,,2011-08-31,,,,88.4,Index,Online job advertisements index,0
CPEMP1,,2011-09-30,,,,86.1,Index,Online job advertisements index,0
CPEMP1,,2011-10-31,,,,79.3,Index,Online job advertisements index,0
CPEMP1,,2011-11-30,,,,79,Index,Online job advertisements index,0
CPEMP1,,2011-12-31,,,,56.4,Index,Online job advertisements index,0
CPEMP1,,2012-01-31,,,,79.3,Index,Online job advertisements index,0
CPEMP1,,2012-02-29,,,,84.4,Index,Online job advertisements index,0
CPEMP1,,2012-03-31,,,,90.5,Index,Online job advertisements index,0
CPEMP1,,2012-04-30,,,,78.7,Index,Online job advertisements index,0
CPEMP1,,2012-05-31,,,,96.7,Index,Online job advertisements index,0
CPEMP1,,2012-06-30,,,,87.9,Index,Online job advertisements index,0
CPEMP1,,2012-07-31,,,,91.8,Index,Online job advertisements index,0
CPEMP1,,2012-08-31,,,,95.6,Index,Online job advertisements index,0
CPEMP1,,2012-09-30,,,,89.4,Index,Online job advertisements index,0
CPEMP1,,2012-10-31,,,,90.4,Index,Online job advertisements index,0
CPEMP1,,2012-11-30,,,,82.9,Index,Online job advertisements index,0
CPEMP1,,2012-12-31,,,,56.5,Index,Online job advertisements index,0
CPEMP1,,2013-01-31,,,,89.2,Index,Online job advertisements index,0
CPEMP1,,2013-02-28,,,,86.8,Index,Online job advertisements index,0
CPEMP1,,2013-03-31,,,,93.2,Index,Online job advertisements index,0
CPEMP1,,2013-04-30,,,,91.6,Index,Online job advertisements index,0
CPEMP1,,2013-05-31,,,,102.4,Index,Online job advertisements index,0
CPEMP1,,2013-06-30,,,,90.4,Index,Online job advertisements index,0
CPEMP1,,2013-07-31,,,,104,Index,Online job advertisements index,0
CPEMP1,,2013-08-31,,,,101.9,Index,Online job advertisements index,0
CPEMP1,,2013-09-30,,,,100.1,Index,Online job advertisements index,0
CPEMP1,,2013-10-31,,,,101.3,Index,Online job advertisements index,0
CPEMP1,,2013-11-30,,,,94.6,Index,Online job advertisements index,0
CPEMP1,,2013-12-31,,,,66.3,Index,Online job advertisements index,0
CPEMP1,,2014-01-31,,,,109.5,Index,Online job advertisements index,0
CPEMP1,,2014-02-28,,,,102.4,Index,Online job advertisements index,0
CPEMP1,,2014-03-31,,,,109.6,Index,Online job advertisements index,0
CPEMP1,,2014-04-30,,,,100,Index,Online job advertisements index,0
CPEMP1,,2014-05-31,,,,116.8,Index,Online job advertisements index,0
CPEMP1,,2014-06-30,,,,108.8,Index,Online job advertisements index,0
CPEMP1,,2014-07-31,,,,114.5,Index,Online job advertisements index,0
CPEMP1,,2014-08-31,,,,110.5,Index,Online job advertisements index,0
CPEMP1,,2014-09-30,,,,117,Index,Online job advertisements index,0
CPEMP1,,2014-10-31,,,,113.2,Index,Online job advertisements index,0
CPEMP1,,2014-11-30,,,,98.1,Index,Online job advertisements index,0
CPEMP1,,2014-12-31,,,,76.4,Index,Online job advertisements index,0
CPEMP1,,2015-01-31,,,,111.2,Index,Online job advertisements index,0
CPEMP1,,2015-02-28,,,,107.2,Index,Online job advertisements index,0
CPEMP1,,2015-03-31,,,,118.9,Index,Online job advertisements index,0
CPEMP1,,2015-04-30,,,,105.4,Index,Online job advertisements index,0
CPEMP1,,2015-05-31,,,,114.2,Index,Online job advertisements index,0
CPEMP1,,2015-06-30,,,,112.3,Index,Online job advertisements index,0
CPEMP1,,2015-07-31,,,,119.2,Index,Online job advertisements index,0
