ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPEMP11,,2004-01-31,All industries,Actual,,1617748,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,All industries,Seasonally adjusted,,1649055,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,Goods-producing industries,Actual,,337116,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,Goods-producing industries,Seasonally adjusted,,334264,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,Primary industries,Actual,,97825,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,Primary industries,Seasonally adjusted,,88975,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,Service industries,Actual,,1182807,Number,Number of filled jobs,0
CPEMP11,,2004-01-31,Service industries,Seasonally adjusted,,1225634,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,All industries,Actual,,1632372,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,All industries,Seasonally adjusted,,1648027,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,Goods-producing industries,Actual,,340369,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,Goods-producing industries,Seasonally adjusted,,335209,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,Primary industries,Actual,,93345,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,Primary industries,Seasonally adjusted,,87431,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,Service industries,Actual,,1198658,Number,Number of filled jobs,0
CPEMP11,,2004-02-29,Service industries,Seasonally adjusted,,1225132,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,All industries,Actual,,1670621,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,All industries,Seasonally adjusted,,1656774,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,Goods-producing industries,Actual,,341583,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,Goods-producing industries,Seasonally adjusted,,336909,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,Primary industries,Actual,,93658,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,Primary industries,Seasonally adjusted,,87906,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,Service industries,Actual,,1235380,Number,Number of filled jobs,0
CPEMP11,,2004-03-31,Service industries,Seasonally adjusted,,1232097,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,All industries,Actual,,1677579,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,All industries,Seasonally adjusted,,1668271,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,Goods-producing industries,Actual,,342008,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,Goods-producing industries,Seasonally adjusted,,338850,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,Primary industries,Actual,,89369,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,Primary industries,Seasonally adjusted,,89419,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,Service industries,Actual,,1246202,Number,Number of filled jobs,0
CPEMP11,,2004-04-30,Service industries,Seasonally adjusted,,1239862,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,All industries,Actual,,1677043,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,All industries,Seasonally adjusted,,1667184,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,Goods-producing industries,Actual,,341915,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,Goods-producing industries,Seasonally adjusted,,339404,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,Primary industries,Actual,,84401,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,Primary industries,Seasonally adjusted,,88677,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,Service industries,Actual,,1250727,Number,Number of filled jobs,0
CPEMP11,,2004-05-31,Service industries,Seasonally adjusted,,1239344,Number,Number of filled jobs,0
CPEMP11,,2004-06-30,All industries,Actual,,1672407,Number,Number of filled jobs,0
